selector_name,CV_train_score_mean,CV_train_score_std,CV_test_score_mean,CV_test_score_mean,CM_true_adult,CM_false_infant,CM_false_adult,CM_true_infant,norm_cenrot-x0,norm_cenrot-y0,norm_cenrot-x1,norm_cenrot-y1,norm_cenrot-x2,norm_cenrot-y2,norm_cenrot-x3,norm_cenrot-y3,norm_cenrot-x4,norm_cenrot-y4,norm_cenrot-x5,norm_cenrot-y5,norm_cenrot-x6,norm_cenrot-y6,norm_cenrot-x7,norm_cenrot-y7,norm_cenrot-x8,norm_cenrot-y8,norm_cenrot-x9,norm_cenrot-y9,norm_cenrot-x10,norm_cenrot-y10,norm_cenrot-x11,norm_cenrot-y11,norm_cenrot-x12,norm_cenrot-y12,norm_cenrot-x13,norm_cenrot-y13,norm_cenrot-x14,norm_cenrot-y14,norm_cenrot-x15,norm_cenrot-y15,norm_cenrot-x16,norm_cenrot-y16,norm_cenrot-x17,norm_cenrot-y17,norm_cenrot-x18,norm_cenrot-y18,norm_cenrot-x19,norm_cenrot-y19,norm_cenrot-x20,norm_cenrot-y20,norm_cenrot-x21,norm_cenrot-y21,norm_cenrot-x22,norm_cenrot-y22,norm_cenrot-x23,norm_cenrot-y23,norm_cenrot-x24,norm_cenrot-y24,norm_cenrot-x25,norm_cenrot-y25,norm_cenrot-x26,norm_cenrot-y26,norm_cenrot-x27,norm_cenrot-y27,norm_cenrot-x28,norm_cenrot-y28,norm_cenrot-x29,norm_cenrot-y29,norm_cenrot-x30,norm_cenrot-y30,norm_cenrot-x31,norm_cenrot-y31,norm_cenrot-x32,norm_cenrot-y32,norm_cenrot-x33,norm_cenrot-y33,norm_cenrot-x34,norm_cenrot-y34,norm_cenrot-x35,norm_cenrot-y35,norm_cenrot-x36,norm_cenrot-y36,norm_cenrot-x37,norm_cenrot-y37,norm_cenrot-x38,norm_cenrot-y38,norm_cenrot-x39,norm_cenrot-y39,norm_cenrot-x40,norm_cenrot-y40,norm_cenrot-x41,norm_cenrot-y41,norm_cenrot-x42,norm_cenrot-y42,norm_cenrot-x43,norm_cenrot-y43,norm_cenrot-x44,norm_cenrot-y44,norm_cenrot-x45,norm_cenrot-y45,norm_cenrot-x46,norm_cenrot-y46,norm_cenrot-x47,norm_cenrot-y47,norm_cenrot-x48,norm_cenrot-y48,norm_cenrot-x49,norm_cenrot-y49,norm_cenrot-x50,norm_cenrot-y50,norm_cenrot-x51,norm_cenrot-y51,norm_cenrot-x52,norm_cenrot-y52,norm_cenrot-x53,norm_cenrot-y53,norm_cenrot-x54,norm_cenrot-y54,norm_cenrot-x55,norm_cenrot-y55,norm_cenrot-x56,norm_cenrot-y56,norm_cenrot-x57,norm_cenrot-y57,norm_cenrot-x58,norm_cenrot-y58,norm_cenrot-x59,norm_cenrot-y59,norm_cenrot-x60,norm_cenrot-y60,norm_cenrot-x61,norm_cenrot-y61,norm_cenrot-x62,norm_cenrot-y62,norm_cenrot-x63,norm_cenrot-y63,norm_cenrot-x64,norm_cenrot-y64,norm_cenrot-x65,norm_cenrot-y65,norm_cenrot-x66,norm_cenrot-y66,norm_cenrot-x67,norm_cenrot-y67
rfe_num_3,0.8177903609473575,0.007659398699140397,0.8153009547530095,0.02603290962869934,639,50,153,257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lasso_regulation_num_3,0.6742512152239115,0.00881534886434545,0.6751805728518057,0.019919037004474206,685,4,353,57,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
random_forest_classifier_num_3,0.8080085841348641,0.013545039987892507,0.8053092569530925,0.04947356262799829,665,24,190,220,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
f_classif_num_5,0.8403100113765642,0.01038171332450082,0.8416894977168949,0.0355441891546465,653,36,138,272,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
mutual_info_classif_num_5,0.8384897610921502,0.009039840095246318,0.8344126193441262,0.032520256611304366,658,31,151,259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sequential_feature_selector_num_5,0.8746584445133934,0.007701010500934366,0.8762681610626816,0.028453720003653815,664,25,111,299,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rfe_num_5,0.8614647326507395,0.008468247467439032,0.8617102532171026,0.03215192030367973,650,39,113,297,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
lasso_regulation_num_5,0.8748841658909919,0.005476496388305931,0.8653466168534661,0.015260341474972497,683,6,142,268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
random_forest_classifier_num_5,0.8348500361981591,0.010308907051485084,0.8344043171440431,0.03706561508610374,646,43,139,271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
f_classif_num_10,0.8500915296307788,0.009520336273205301,0.8453341635533416,0.02992344413481454,640,49,121,289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
mutual_info_classif_num_10,0.8434949322577309,0.008666089796350869,0.8426027397260274,0.03520628337894688,639,50,123,287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
sequential_feature_selector_num_10,0.9249322577308925,0.004484608909572072,0.9272312162723122,0.02276848289392897,673,16,64,346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rfe_num_10,0.9065071362085014,0.0066308630281315265,0.9035865504358656,0.029161433178334674,656,33,73,337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
lasso_regulation_num_10,0.9099170027924293,0.004362485055045301,0.9017351598173515,0.04008845769895691,674,15,93,317,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
random_forest_classifier_num_10,0.8678358672044679,0.006886481491213842,0.8626317974263179,0.026760067624970928,643,46,105,305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
f_classif_num_15,0.840537284103837,0.009575795753436098,0.8407804068078042,0.03358002712157031,633,56,119,291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
mutual_info_classif_num_15,0.8457692108801325,0.007992527976848272,0.8426027397260274,0.03327538105566983,635,54,119,291,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
sequential_feature_selector_num_15,0.9406288137346157,0.004559706619303659,0.9426982150269823,0.016866371557546778,677,12,51,359,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rfe_num_15,0.9276618574826765,0.006293153948502809,0.9263221253632213,0.02458208192908134,666,23,58,352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
lasso_regulation_num_15,0.934713258868549,0.002113419944935521,0.9317559153175592,0.022453234508047135,677,12,63,347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
random_forest_classifier_num_15,0.8676083359189161,0.006743196824078779,0.8662681610626816,0.02471862579414964,645,44,103,307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False
f_classif_num_20,0.8419022132588685,0.008654861065071332,0.8416936488169364,0.04153560375079701,639,50,124,286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
mutual_info_classif_num_20,0.8535034646809392,0.008367196793669929,0.8535284350352844,0.03064992481820795,637,52,109,301,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
